"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"SOT-23";1;"2N7002";;;
2;"D2";"D_SOD-123";1;"1N4148W";;;
3;"R15,R13";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"10K";;;
4;"R14";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100K";;;
5;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"STBY";;;
6;"D1";"D_SOD-123";1;"BZT52Bxx";;;
7;"C10";"CP_Radial_D6.3mm_P2.50mm";1;"22uF";;;
8;"R4,R3,R2,R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"2K 0.1%";;;
9;"J2";"TerminalBlock_CUI_01x02_P5.00mm";1;"OUTPUT";;;
10;"R9,R10";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";2;"0R1 2W";;;
11;"H4,H3,H2,H1";"MountingHole_3.5mm_Pad_Via";4;"MountingHole";;;
12;"U1";"TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical";1;"LM1876";;;
13;"R12";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"10R 2W";;;
14;"R11";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";1;"4R7 2W";;;
15;"R8,R7,R6,R5";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"20K 0.1%";;;
16;"L1";"Inductor_DIY_flipped";1;"L";;;
17;"J8";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";1;"VCC";;;
18;"J7,J5";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";2;"GND";;;
19;"J6";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";1;"VEE";;;
20;"J4";"Terminal_.25_PCB_TAB_TE_Connectivity_P5.08mm_";1;"SPK";;;
21;"J3";"TerminalBlock_CUI_01x03_P5.00mm";1;"POWER";;;
22;"J1";"TerminalBlock_ Amphenol_01_03_P3.50mm";1;"INPUT";;;
23;"C9";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"0.1uF";;;
24;"C8,C7,C6,C5";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"1uF";;;
25;"C4,C3";"CP_Radial_D16.0mm_P7.50mm";2;"1000uF";;;
26;"C2,C1";"C_Radial_D10.0mm_H16.0mm_P5.00mm";2;"100uF NP";;;
